Rid;causa contaminante;area influencia (kms);fecha apertura;region de tramitacion;comuna de tramitacion
24762;ruido;17.79;1993-05-11;VIII del Bio-Bio;Talcahuano
24763;contaminacion de suelo;10.57;1993-11-29;V de Valparaiso;La Ligua
24764;ruido;35.53;2011-09-25;X de Los Lagos;Puerto Octay
24765;plagas;21.15;2003-11-22;VI del Libertador General Bernardo O'Higgins;Malloa
24766;contaminacion de agua;12.65;1997-08-13;VII del Maule;San Clemente
24767;contaminacion de suelo;46.6;1988-02-09;X de Los Lagos;Queilen
24768;mal olor;7.38;2019-07-27;VII del Maule;Talca
24769;destruccion del medio ambiente;7.68;2005-03-31;V de Valparaiso;Isla de Pascua
24770;mal olor;40.73;1983-07-11;X de Los Lagos;Purranque
24771;plagas;18.33;2012-04-02;IX de La Araucania;Saavedra
24772;destruccion del medio ambiente;25.33;2018-07-03;VI del Libertador General Bernardo O'Higgins;Coinco
24773;mal olor;35.01;2011-02-25;V de Valparaiso;Villa Alemana
24774;contaminacion de la cadena trofica;14.92;2011-09-17;V de Valparaiso;Zapallar
24775;destruccion del medio ambiente;16.63;2009-11-20;VII del Maule;Linares
24776;mal olor;24.36;2018-01-06;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
24777;plagas;24.62;1995-08-19;X de Los Lagos;Puerto Montt
24778;plagas;41.8;1982-11-28;VII del Maule;Romeral
24779;destruccion del medio ambiente;2.27;2015-10-30;VIII del Bio-Bio;Los Alamos
24780;contaminacion de suelo;23.61;1997-05-27;VIII del Bio-Bio;Yumbel
24781;destruccion del medio ambiente;17.29;2015-01-26;VIII del Bio-Bio;Curanilahue
24782;radiacion;41.28;2015-08-17;VI del Libertador General Bernardo O'Higgins;Placilla
24783;contaminacion del aire;45.22;2007-04-13;IX de La Araucania;Perquenco
24784;mal olor;15.24;2017-11-08;IX de La Araucania;Lonquimay
24785;destruccion del medio ambiente;40.21;1978-07-29;I de Tarapaca;Huara
24786;radiacion;48.07;2002-03-24;IX de La Araucania;Lonquimay
24787;mal olor;3.94;2004-05-31;XVI de Ñuble;Ñiquen
24788;destruccion del medio ambiente;44.9;1981-03-26;II de Antofagasta;Calama
24789;destruccion del medio ambiente;1.84;1982-04-18;Metropolitana de Santiago;Melipilla
24790;destruccion del medio ambiente;27;1988-03-06;VII del Maule;Vichuquen
24791;plagas;35.52;2002-05-30;IV de Coquimbo;La Higuera
24792;contaminacion de suelo;29.37;1990-01-04;XVI de Ñuble;Cobquecura
24793;contaminacion del aire;8.19;2013-01-13;X de Los Lagos;Puerto Octay
24794;contaminacion de la cadena trofica;24.38;2016-07-30;IV de Coquimbo;Coquimbo
24795;plagas;2.13;2016-08-11;XIV de Los Rios;Futrono
24796;destruccion del medio ambiente;20.48;1997-10-04;XIV de Los Rios;Corral
24797;mal olor;16.07;1998-12-07;V de Valparaiso;Limache
24798;contaminacion de la cadena trofica;48.29;1996-08-04;Metropolitana de Santiago;Conchali
24799;ruido;44.76;2018-10-13;V de Valparaiso;El Quisco
24800;contaminacion de agua;16.89;2018-01-10;VI del Libertador General Bernardo O'Higgins;San Vicente
24801;contaminacion del aire;37.22;1979-12-31;X de Los Lagos;Quinchao
24802;contaminacion de agua;29.85;2017-01-13;Metropolitana de Santiago;Tiltil
24803;contaminacion de suelo;31.63;2006-10-06;Metropolitana de Santiago;Vitacura
24804;radiacion;19.72;2016-01-03;Metropolitana de Santiago;Santiago
24805;radiacion;38.32;1998-03-05;IV de Coquimbo;Andacollo
24806;plagas;47.45;2015-06-17;Metropolitana de Santiago;San Pedro
24807;destruccion del medio ambiente;1.81;1964-07-08;VIII del Bio-Bio;Lebu
24808;radiacion;34.94;2004-07-08;Metropolitana de Santiago;Recoleta
24809;contaminacion de agua;17.58;1999-04-26;Metropolitana de Santiago;Quinta Normal
24810;contaminacion de agua;44.52;1992-02-21;VI del Libertador General Bernardo O'Higgins;Olivar
24811;contaminacion de la cadena trofica;16.14;1989-08-25;Metropolitana de Santiago;Santiago
24812;ruido;27.29;2014-03-13;VIII del Bio-Bio;Los Angeles
24813;contaminacion del aire;13.34;2019-08-27;IX de La Araucania;Traiguen
24814;mal olor;8.62;1998-01-22;X de Los Lagos;Dalcahue
24815;destruccion del medio ambiente;21.54;2017-11-10;XIV de Los Rios;Lago Ranco
24816;plagas;42.71;1994-08-18;VIII del Bio-Bio;Arauco
24817;destruccion del medio ambiente;17.42;1971-11-11;V de Valparaiso;Calera
24818;contaminacion del aire;13.97;2001-02-09;X de Los Lagos;Futaleufu
24819;radiacion;25.86;1995-09-30;XVI de Ñuble;Treguaco
24820;mal olor;28.91;2005-03-07;VII del Maule;Romeral
24821;plagas;32.08;1988-06-19;V de Valparaiso;Panquehue
24822;contaminacion de agua;27.62;2008-10-03;VI del Libertador General Bernardo O'Higgins;Coltauco
24823;contaminacion de la cadena trofica;31.19;2009-11-03;X de Los Lagos;Castro
24824;destruccion del medio ambiente;23.14;1994-07-07;IX de La Araucania;Ercilla
24825;destruccion del medio ambiente;35.96;2018-12-12;VII del Maule;Longavi
24826;contaminacion de suelo;36.89;1998-05-25;IX de La Araucania;Angol
24827;contaminacion de suelo;17.36;2019-06-11;Metropolitana de Santiago;San Ramon
24828;destruccion del medio ambiente;47.82;2003-02-20;VII del Maule;Licanten
24829;mal olor;31.63;2018-12-03;V de Valparaiso;Cabildo
24830;contaminacion de agua;34.38;1990-04-22;XII de Magallanes y de La Antartica Chilena;Antartica
24831;contaminacion de suelo;14.95;1993-01-13;X de Los Lagos;Queilen
24832;contaminacion de la cadena trofica;8.71;2019-04-26;IV de Coquimbo;La Serena
24833;destruccion del medio ambiente;2.56;1990-02-02;IX de La Araucania;Renaico
24834;ruido;1.84;1991-12-05;VIII del Bio-Bio;Hualqui
24835;mal olor;29.8;2009-07-06;IX de La Araucania;Loncoche
24836;destruccion del medio ambiente;34.27;2014-09-20;Metropolitana de Santiago;Tiltil
24837;plagas;27.84;1964-06-02;Metropolitana de Santiago;Macul
24838;contaminacion de la cadena trofica;15.96;2005-11-14;III de Atacama;Alto del Carmen
24839;mal olor;16.4;2002-04-12;I de Tarapaca;Camiña
24840;contaminacion de agua;14.54;2010-08-20;VII del Maule;Parral
24841;contaminacion del aire;30.43;2015-08-07;III de Atacama;Alto del Carmen
24842;radiacion;18.78;1998-10-20;Metropolitana de Santiago;Independencia
24843;contaminacion del aire;12.47;1996-02-05;X de Los Lagos;Dalcahue
24844;ruido;16.9;2016-11-29;IV de Coquimbo;Combarbala
24845;ruido;3.05;1988-04-24;X de Los Lagos;Purranque
24846;contaminacion de la cadena trofica;2.15;1984-04-28;Metropolitana de Santiago;San Miguel
24847;contaminacion de agua;23.66;1983-08-23;IX de La Araucania;Padre Las Casas
24848;contaminacion de la cadena trofica;46.55;2006-03-10;IV de Coquimbo;Los Vilos
24849;destruccion del medio ambiente;10.07;2008-08-20;Metropolitana de Santiago;La Reina
24850;mal olor;5.66;2016-07-11;Metropolitana de Santiago;Pudahuel
24851;radiacion;22.37;1959-04-07;Metropolitana de Santiago;Paine
24852;contaminacion del aire;5.22;1956-12-04;XII de Magallanes y de La Antartica Chilena;Antartica
24853;contaminacion de agua;47.57;2017-06-04;Metropolitana de Santiago;Talagante
24854;mal olor;19.09;2018-10-16;VIII del Bio-Bio;Mulchen
24855;contaminacion de suelo;6.34;2013-01-25;III de Atacama;Caldera
24856;radiacion;23.19;1994-03-12;Metropolitana de Santiago;Lo Prado
24857;contaminacion de suelo;13.63;2003-03-27;X de Los Lagos;Futaleufu
24858;ruido;44.53;2003-05-11;VI del Libertador General Bernardo O'Higgins;Pichilemu
24859;contaminacion de agua;9.27;2019-02-17;VI del Libertador General Bernardo O'Higgins;Navidad
24860;destruccion del medio ambiente;15.05;1964-11-18;Metropolitana de Santiago;Buin
24861;ruido;33.82;2013-02-22;Metropolitana de Santiago;La Florida
24862;contaminacion de suelo;8.49;1999-11-26;X de Los Lagos;Quinchao
24863;ruido;45.34;1967-12-10;VIII del Bio-Bio;Alto Biobio
24864;contaminacion de suelo;39.31;2007-10-13;IX de La Araucania;Carahue
24865;mal olor;28;1997-07-20;Metropolitana de Santiago;El Monte
24866;ruido;3.87;1994-04-06;IX de La Araucania;Collipulli
24867;mal olor;38.43;1954-07-09;Metropolitana de Santiago;Lampa
24868;plagas;27.61;2000-10-23;IX de La Araucania;Pucon
24869;contaminacion de suelo;28.96;1998-07-27;III de Atacama;Copiapo
24870;contaminacion de agua;7.92;1981-10-12;IX de La Araucania;Pucon
24871;contaminacion de agua;43.78;1960-09-26;VI del Libertador General Bernardo O'Higgins;Chepica
24872;mal olor;40.98;2017-04-05;VII del Maule;Teno
24873;ruido;40.98;1985-02-15;VIII del Bio-Bio;Santa Barbara
24874;plagas;14.35;1997-03-16;X de Los Lagos;Quinchao
24875;plagas;48.71;1963-02-07;VII del Maule;San Clemente
24876;contaminacion de agua;35.19;2013-06-24;XVI de Ñuble;Pinto
24877;contaminacion del aire;41.14;1981-02-10;VI del Libertador General Bernardo O'Higgins;Palmilla
24878;ruido;19.77;2019-01-28;IV de Coquimbo;Vicuña
24879;ruido;18.04;2008-01-31;IV de Coquimbo;Rio Hurtado
24880;radiacion;23.72;2013-10-26;VIII del Bio-Bio;Curanilahue
24881;contaminacion de suelo;6.64;2010-07-08;II de Antofagasta;Ollague
24882;contaminacion de la cadena trofica;0.09;1960-05-15;V de Valparaiso;El Quisco
24883;destruccion del medio ambiente;10.53;2018-12-27;Metropolitana de Santiago;San Ramon
24884;contaminacion del aire;1.4;2001-01-09;IX de La Araucania;Renaico
24885;ruido;30.05;2002-04-23;III de Atacama;Copiapo
24886;ruido;18.36;1997-08-19;Metropolitana de Santiago;Lampa
24887;contaminacion de suelo;12.5;1995-09-05;X de Los Lagos;Quellon
24888;contaminacion de agua;2.28;2001-12-24;XVI de Ñuble;Ninhue
24889;ruido;45.52;2007-04-22;Metropolitana de Santiago;Maipu
24890;mal olor;36.09;2018-12-07;Metropolitana de Santiago;Melipilla
24891;radiacion;47.25;2004-05-27;VIII del Bio-Bio;Quilaco
24892;radiacion;45.26;2010-05-04;VII del Maule;Parral
24893;contaminacion de agua;11.27;1985-06-26;III de Atacama;Chañaral
24894;plagas;1.14;2008-01-13;IX de La Araucania;Teodoro Schmidt
24895;radiacion;15.23;2016-06-28;XV de Arica y Parinacota;Arica
24896;contaminacion del aire;15.41;2017-03-01;XI de Aysen del General Carlos Ibañez del Campo;Cochrane
24897;contaminacion del aire;35.16;2017-01-15;Metropolitana de Santiago;Tiltil
24898;contaminacion de la cadena trofica;27.98;2017-01-24;IX de La Araucania;Galvarino
24899;ruido;30.34;1972-06-06;IV de Coquimbo;Salamanca
24900;contaminacion de la cadena trofica;12.29;2018-05-28;VII del Maule;Retiro
24901;contaminacion de la cadena trofica;9.34;2007-08-05;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
24902;destruccion del medio ambiente;47.48;2017-01-15;IX de La Araucania;Lautaro
24903;ruido;36.41;1964-01-21;VIII del Bio-Bio;Hualpen
24904;destruccion del medio ambiente;23.45;2017-06-10;II de Antofagasta;Taltal
24905;contaminacion de suelo;40.9;1998-08-22;XI de Aysen del General Carlos Ibañez del Campo;Cisnes
24906;destruccion del medio ambiente;14.67;2012-05-17;VI del Libertador General Bernardo O'Higgins;Paredones
24907;contaminacion de la cadena trofica;47.36;1981-03-22;Metropolitana de Santiago;Pudahuel
24908;contaminacion del aire;5.53;2010-02-16;VII del Maule;San Clemente
24909;contaminacion de agua;21.95;1983-10-02;XI de Aysen del General Carlos Ibañez del Campo;Cochrane
24910;contaminacion de la cadena trofica;12.34;2008-09-07;VII del Maule;Pelluhue
24911;radiacion;37.48;1983-02-28;II de Antofagasta;Tocopilla
24912;plagas;36.77;2018-09-18;VII del Maule;San Rafael
24913;plagas;28.46;2015-03-08;XII de Magallanes y de La Antartica Chilena;San Gregorio
24914;contaminacion del aire;49.13;2016-02-20;V de Valparaiso;Petorca
24915;ruido;34.33;2018-11-12;V de Valparaiso;San Antonio
24916;radiacion;16.33;2015-10-22;Metropolitana de Santiago;La Granja
24917;radiacion;31.72;1982-07-08;V de Valparaiso;Nogales
24918;destruccion del medio ambiente;17.69;1970-03-12;VIII del Bio-Bio;San Rosendo
24919;contaminacion de suelo;43.07;2008-01-07;IX de La Araucania;Traiguen
24920;ruido;46.99;2015-05-22;VI del Libertador General Bernardo O'Higgins;Palmilla
24921;contaminacion de suelo;3.12;2009-07-17;VIII del Bio-Bio;Quilleco
24922;contaminacion de agua;35.57;2017-05-27;III de Atacama;Freirina
24923;contaminacion de suelo;24.33;2004-02-28;IX de La Araucania;Melipeuco
24924;contaminacion de agua;12.11;2019-03-01;Metropolitana de Santiago;La Cisterna
24925;contaminacion de suelo;12.63;2017-12-09;X de Los Lagos;Puerto Varas
24926;contaminacion de agua;10.47;2005-06-06;XIV de Los Rios;Rio Bueno
24927;ruido;19.82;2016-02-04;I de Tarapaca;Pozo Almonte
24928;contaminacion de suelo;35.74;1963-07-01;Metropolitana de Santiago;Talagante
24929;destruccion del medio ambiente;33.26;2003-01-28;IV de Coquimbo;Ovalle
24930;contaminacion de la cadena trofica;47.42;2012-10-13;I de Tarapaca;Colchane
24931;contaminacion de la cadena trofica;37.88;1972-07-03;VII del Maule;Curico
24932;plagas;8.95;2018-01-01;Metropolitana de Santiago;Quilicura
24933;contaminacion de agua;2.4;2016-07-13;VIII del Bio-Bio;Quilaco
24934;plagas;0.48;2011-11-17;Metropolitana de Santiago;El Monte
24935;mal olor;22.45;2005-11-25;Metropolitana de Santiago;Vitacura
24936;contaminacion del aire;17.5;2011-10-22;Metropolitana de Santiago;Isla de Maipo
24937;plagas;3.29;2015-11-16;XII de Magallanes y de La Antartica Chilena;Antartica
24938;contaminacion de la cadena trofica;3.87;1977-11-25;III de Atacama;Diego de Almagro
24939;contaminacion del aire;35.78;2009-11-01;V de Valparaiso;Santo Domingo
24940;ruido;20.59;2006-02-01;VIII del Bio-Bio;Curanilahue
24941;contaminacion del aire;18.39;1964-08-05;V de Valparaiso;La Ligua
24942;contaminacion de agua;9.69;1995-09-23;IX de La Araucania;Carahue
24943;ruido;44.31;1993-03-10;X de Los Lagos;Calbuco
24944;contaminacion del aire;27.22;1996-11-21;V de Valparaiso;Llaillay
24945;radiacion;43.63;1988-06-16;VI del Libertador General Bernardo O'Higgins;Rancagua
24946;radiacion;31.63;2002-09-27;I de Tarapaca;Pica
24947;contaminacion de agua;14.98;2007-02-22;XVI de Ñuble;San Carlos
24948;ruido;27.74;1996-08-08;VI del Libertador General Bernardo O'Higgins;Nancagua
24949;contaminacion del aire;8.61;2011-02-10;Metropolitana de Santiago;Curacavi
24950;plagas;8.91;1987-03-20;VI del Libertador General Bernardo O'Higgins;Marchihue
24951;contaminacion de suelo;44.77;2004-01-22;VI del Libertador General Bernardo O'Higgins;Graneros
24952;plagas;24.5;2010-04-25;Metropolitana de Santiago;Buin
24953;mal olor;14.73;1971-09-23;VI del Libertador General Bernardo O'Higgins;Pumanque
24954;contaminacion de suelo;16.34;1969-07-02;Metropolitana de Santiago;El Bosque
24955;radiacion;34.99;1993-05-31;VI del Libertador General Bernardo O'Higgins;Machali
24956;contaminacion de la cadena trofica;34.64;2011-11-10;V de Valparaiso;Los Andes
24957;contaminacion del aire;22.34;2010-03-14;Metropolitana de Santiago;Conchali
24958;contaminacion de suelo;43.64;1979-03-30;IV de Coquimbo;Andacollo
24959;mal olor;1.42;1993-08-09;V de Valparaiso;Calle Larga
24960;plagas;14.55;2002-12-02;VII del Maule;Sagrada Familia
24961;destruccion del medio ambiente;34.24;2001-10-31;XIV de Los Rios;Paillaco
24962;contaminacion de agua;17.55;2004-02-21;V de Valparaiso;Petorca
24963;mal olor;9.6;2014-08-29;XIV de Los Rios;La Union
24964;radiacion;23.15;2007-12-09;XVI de Ñuble;San Fabian
24965;radiacion;16.42;2012-09-01;X de Los Lagos;Queilen
24966;destruccion del medio ambiente;24.16;2001-11-12;III de Atacama;Freirina
24967;destruccion del medio ambiente;12.61;2010-12-04;Metropolitana de Santiago;La Cisterna
24968;ruido;14.03;1996-08-22;V de Valparaiso;Rinconada
24969;plagas;49.46;1999-10-07;Metropolitana de Santiago;La Pintana
24970;contaminacion de la cadena trofica;47.57;2017-12-24;Metropolitana de Santiago;Estacion Central
24971;ruido;12.23;2017-02-28;V de Valparaiso;Catemu
24972;mal olor;36.2;2005-03-12;VII del Maule;Teno
24973;plagas;48.06;2005-11-05;Metropolitana de Santiago;Tiltil
24974;radiacion;23.05;2000-03-12;V de Valparaiso;Santa Maria
24975;mal olor;3.6;1968-03-13;XII de Magallanes y de La Antartica Chilena;Punta Arenas
24976;contaminacion del aire;12.95;2019-08-14;V de Valparaiso;Llaillay
24977;contaminacion de suelo;49.32;2015-03-21;VIII del Bio-Bio;Yumbel
24978;contaminacion de suelo;25.8;2014-11-16;XII de Magallanes y de La Antartica Chilena;Primavera
24979;radiacion;22.79;2019-03-13;XI de Aysen del General Carlos Ibañez del Campo;Cochrane
24980;radiacion;21.48;2010-02-12;VI del Libertador General Bernardo O'Higgins;Doñihue
24981;contaminacion de suelo;24.92;2015-12-22;Metropolitana de Santiago;El Bosque
24982;ruido;18.84;2006-06-24;V de Valparaiso;Papudo
24983;radiacion;40.06;1957-12-30;VIII del Bio-Bio;Quilleco
24984;destruccion del medio ambiente;8.78;1973-03-12;VIII del Bio-Bio;Tirua
24985;destruccion del medio ambiente;47.47;2015-11-14;Metropolitana de Santiago;San Joaquin
24986;contaminacion de suelo;20.34;2012-01-06;IV de Coquimbo;Illapel
24987;contaminacion de suelo;41.94;2017-10-06;V de Valparaiso;Petorca
24988;contaminacion del aire;33.6;2011-10-11;VI del Libertador General Bernardo O'Higgins;Codegua
24989;contaminacion de suelo;1.95;2011-11-22;XV de Arica y Parinacota;Camarones
24990;radiacion;42.35;2003-08-16;X de Los Lagos;Rio Negro
24991;ruido;36.81;1993-11-16;VIII del Bio-Bio;Cabrero
24992;destruccion del medio ambiente;47.35;2001-07-22;XIV de Los Rios;Panguipulli
24993;contaminacion de suelo;1.37;2002-01-01;V de Valparaiso;Quillota
24994;contaminacion de agua;7.2;1990-06-24;X de Los Lagos;Puerto Octay
24995;radiacion;14.58;2015-11-08;VIII del Bio-Bio;Chiguayante
24996;destruccion del medio ambiente;7.31;1992-12-26;V de Valparaiso;Casablanca
24997;destruccion del medio ambiente;9.67;2018-03-13;V de Valparaiso;Quintero
24998;contaminacion de suelo;24.15;1996-08-18;VI del Libertador General Bernardo O'Higgins;Pichidegua
24999;plagas;29.75;1979-02-28;IX de La Araucania;Freire
25000;contaminacion del aire;10.89;1975-03-05;VII del Maule;Hualañe
25001;contaminacion de agua;30.25;1965-07-05;VIII del Bio-Bio;Coronel
25002;radiacion;38.98;2007-11-04;VIII del Bio-Bio;Santa Juana
25003;contaminacion de agua;28.46;2016-03-24;I de Tarapaca;Pozo Almonte
25004;contaminacion del aire;41.03;2019-05-24;V de Valparaiso;Calle Larga
25005;contaminacion del aire;47.47;2013-08-15;XVI de Ñuble;San Nicolas
25006;contaminacion del aire;44.24;2010-01-26;XIV de Los Rios;La Union
25007;plagas;42.89;2019-08-20;XIV de Los Rios;Valdivia
25008;contaminacion de la cadena trofica;33.25;2018-01-03;VI del Libertador General Bernardo O'Higgins;Graneros
25009;ruido;0.65;1975-04-01;VIII del Bio-Bio;Curanilahue
25010;contaminacion de suelo;13.45;2016-12-20;IV de Coquimbo;Salamanca
25011;contaminacion de suelo;10.13;1996-10-27;XII de Magallanes y de La Antartica Chilena;Punta Arenas
25012;contaminacion de agua;28.3;2013-12-03;VI del Libertador General Bernardo O'Higgins;Pumanque
25013;contaminacion del aire;33;1968-05-31;Metropolitana de Santiago;Lo Barnechea
25014;plagas;45.62;1980-05-06;III de Atacama;Chañaral
25015;contaminacion de la cadena trofica;18.38;2018-04-11;X de Los Lagos;Puqueldon
25016;contaminacion de la cadena trofica;36.09;2006-12-22;XVI de Ñuble;Quillon
25017;contaminacion del aire;19.33;2017-10-05;Metropolitana de Santiago;Providencia
25018;mal olor;39.65;2018-09-13;XVI de Ñuble;Portezuelo
25019;mal olor;1.15;1986-07-21;VI del Libertador General Bernardo O'Higgins;Las Cabras
25020;plagas;26.55;2001-01-15;IX de La Araucania;Freire
25021;plagas;23.94;1997-05-13;II de Antofagasta;Antofagasta
25022;contaminacion del aire;24.71;1976-06-18;IV de Coquimbo;Salamanca
25023;plagas;31.19;2013-12-01;VII del Maule;Molina
25024;contaminacion de la cadena trofica;12.45;2018-10-06;X de Los Lagos;Castro
25025;radiacion;41.93;1990-01-28;VIII del Bio-Bio;Arauco
25026;radiacion;23.44;1991-11-27;Metropolitana de Santiago;Ñuñoa
25027;ruido;22.13;1964-07-19;IX de La Araucania;Curarrehue
25028;contaminacion del aire;4.61;1998-05-22;IX de La Araucania;Saavedra
25029;contaminacion de suelo;7.09;2011-06-28;X de Los Lagos;Palena
25030;plagas;18.13;2007-04-26;VI del Libertador General Bernardo O'Higgins;Paredones
25031;ruido;9.67;2013-12-13;XI de Aysen del General Carlos Ibañez del Campo;Tortel
25032;contaminacion del aire;45.96;2017-11-17;VIII del Bio-Bio;Santa Juana
25033;contaminacion de agua;35.94;2019-07-12;VIII del Bio-Bio;Curanilahue
25034;contaminacion de suelo;20.7;2007-09-18;XVI de Ñuble;Portezuelo
25035;contaminacion del aire;27.75;2005-10-19;X de Los Lagos;Quinchao
25036;contaminacion de suelo;24.13;2003-05-06;X de Los Lagos;Quellon
25037;contaminacion de agua;43.36;1980-11-17;X de Los Lagos;Quemchi
25038;destruccion del medio ambiente;25.14;2008-06-16;VIII del Bio-Bio;Coronel
25039;contaminacion de suelo;23.58;1987-11-02;VI del Libertador General Bernardo O'Higgins;San Vicente
25040;contaminacion de suelo;12.28;2005-07-16;XI de Aysen del General Carlos Ibañez del Campo;Cochrane
25041;contaminacion de la cadena trofica;15.68;2019-03-30;VI del Libertador General Bernardo O'Higgins;San Vicente
25042;radiacion;42.75;1993-07-17;V de Valparaiso;Quillota
25043;contaminacion de suelo;4.62;2017-02-15;VI del Libertador General Bernardo O'Higgins;Malloa
25044;radiacion;49.07;1994-07-17;III de Atacama;Tierra Amarilla
25045;ruido;8.3;2003-06-02;Metropolitana de Santiago;Isla de Maipo
25046;contaminacion de agua;10.04;2012-12-11;VII del Maule;Romeral
25047;plagas;40.2;1993-04-10;VI del Libertador General Bernardo O'Higgins;Mostazal
25048;plagas;5.99;2018-08-16;VI del Libertador General Bernardo O'Higgins;Lolol
25049;contaminacion de la cadena trofica;40.75;2006-01-15;Metropolitana de Santiago;Recoleta
25050;plagas;8.75;2008-06-23;XVI de Ñuble;Ninhue
25051;plagas;15.75;1996-05-19;V de Valparaiso;Hijuelas
25052;contaminacion del aire;45.04;1980-08-16;VIII del Bio-Bio;Mulchen
25053;contaminacion de agua;26.56;2010-06-01;VII del Maule;Villa Alegre
25054;contaminacion de agua;32.76;1987-10-02;VIII del Bio-Bio;Laja
25055;contaminacion de agua;38.38;2017-04-14;Metropolitana de Santiago;La Pintana
25056;contaminacion de suelo;2.18;1995-11-16;VII del Maule;Colbun
25057;contaminacion de suelo;20.76;2002-08-22;VI del Libertador General Bernardo O'Higgins;Peralillo
25058;contaminacion de suelo;44.18;1984-11-13;VI del Libertador General Bernardo O'Higgins;Peralillo
25059;plagas;35.62;2014-03-25;XV de Arica y Parinacota;Putre
25060;contaminacion de suelo;0.87;1986-05-06;Metropolitana de Santiago;Maipu
25061;plagas;15.98;1977-02-06;X de Los Lagos;Quemchi
25062;contaminacion del aire;33.4;2003-03-25;VIII del Bio-Bio;Nacimiento
25063;contaminacion de la cadena trofica;23.25;1999-06-21;VIII del Bio-Bio;Santa Barbara
25064;contaminacion de la cadena trofica;6.81;2017-09-19;XII de Magallanes y de La Antartica Chilena;Primavera
25065;plagas;24.98;2010-11-13;VIII del Bio-Bio;Lebu
25066;destruccion del medio ambiente;7.99;2018-10-21;VI del Libertador General Bernardo O'Higgins;Placilla
25067;destruccion del medio ambiente;30.13;1992-01-31;VI del Libertador General Bernardo O'Higgins;Pumanque
25068;contaminacion de la cadena trofica;6.78;2002-04-01;Metropolitana de Santiago;Macul
25069;plagas;30.78;1988-01-07;X de Los Lagos;San Pablo
25070;contaminacion de suelo;4.52;2016-11-28;XVI de Ñuble;Coelemu
25071;radiacion;7.73;1984-07-21;VIII del Bio-Bio;Penco
25072;destruccion del medio ambiente;38.29;1969-05-22;IX de La Araucania;Collipulli
25073;ruido;7.31;2012-09-14;VIII del Bio-Bio;Tome
25074;contaminacion de la cadena trofica;3.26;1977-03-26;IX de La Araucania;Nueva Imperial
25075;ruido;1.99;2004-02-15;XVI de Ñuble;Chillan Viejo
25076;plagas;37.75;2013-02-18;VIII del Bio-Bio;Florida
25077;ruido;44.19;2014-09-29;Metropolitana de Santiago;La Cisterna
25078;destruccion del medio ambiente;14.85;2017-05-24;X de Los Lagos;Queilen
25079;plagas;4.32;2003-05-27;XVI de Ñuble;Portezuelo
25080;ruido;38.4;1968-05-31;Metropolitana de Santiago;Vitacura
25081;contaminacion del aire;27.04;1987-05-23;III de Atacama;Tierra Amarilla
25082;ruido;20.94;1978-01-29;Metropolitana de Santiago;Peñaflor
25083;plagas;38.78;1969-12-28;XV de Arica y Parinacota;General Lagos
25084;contaminacion del aire;27.75;1997-11-19;VI del Libertador General Bernardo O'Higgins;Santa Cruz
25085;contaminacion de la cadena trofica;11.24;1988-03-12;Metropolitana de Santiago;Quinta Normal
25086;mal olor;42.83;1964-01-03;X de Los Lagos;Los Muermos
25087;contaminacion de la cadena trofica;45.94;1980-01-29;VIII del Bio-Bio;Cabrero
25088;contaminacion de agua;7.58;2016-11-21;II de Antofagasta;Calama
25089;destruccion del medio ambiente;49.19;2009-11-07;III de Atacama;Chañaral
25090;destruccion del medio ambiente;40.4;2002-09-21;VI del Libertador General Bernardo O'Higgins;Pichidegua
25091;contaminacion de agua;19.92;2016-09-03;V de Valparaiso;Rinconada
25092;radiacion;12.36;2018-09-01;X de Los Lagos;Llanquihue
25093;mal olor;46.42;1992-03-05;XIV de Los Rios;Mariquina
25094;contaminacion de agua;28.41;2016-05-14;VIII del Bio-Bio;Lota
25095;contaminacion de suelo;14.16;1980-08-17;X de Los Lagos;Puerto Varas
25096;contaminacion de suelo;31.53;2019-07-30;Metropolitana de Santiago;Isla de Maipo
25097;contaminacion de la cadena trofica;41.21;2019-03-24;II de Antofagasta;Mejillones
25098;contaminacion de suelo;18.76;1963-10-24;VII del Maule;San Javier
25099;radiacion;1.93;2004-01-08;VI del Libertador General Bernardo O'Higgins;Santa Cruz
25100;mal olor;22.2;1987-07-01;III de Atacama;Chañaral
25101;ruido;22.69;1972-05-26;VI del Libertador General Bernardo O'Higgins;San Vicente
25102;contaminacion de suelo;38.95;1985-11-23;V de Valparaiso;El Quisco
25103;contaminacion de la cadena trofica;32.21;1976-06-08;XI de Aysen del General Carlos Ibañez del Campo;Chile Chico
25104;contaminacion del aire;36.37;2017-06-04;Metropolitana de Santiago;Lo Espejo
25105;contaminacion de suelo;25.25;2004-12-08;VI del Libertador General Bernardo O'Higgins;Marchihue
25106;ruido;41.13;1989-01-01;XVI de Ñuble;San Fabian
25107;mal olor;30.68;1995-06-08;VIII del Bio-Bio;San Pedro de la Paz
25108;contaminacion del aire;35.21;2017-03-21;XII de Magallanes y de La Antartica Chilena;Laguna Blanca
25109;contaminacion del aire;13.31;1992-03-23;V de Valparaiso;Puchuncavi
25110;contaminacion de suelo;8.19;1998-06-05;VI del Libertador General Bernardo O'Higgins;Chepica
25111;contaminacion de suelo;38.18;2005-09-13;VII del Maule;Molina
